LOG_ID,BDD,USUARIO,IP,PID,FECHA_1,HORA_1,FECHA_Y_HORA,COMANDO,DURACION,RESULTADO
1,prueba,cesar,192.168.1.62,11452,2020-11-25,12:26:31.196,2020-11-25 12:26:31,SET,0.180,OK
2,prueba,cesar,192.168.1.62,11452,2020-11-25,12:26:31.229,2020-11-25 12:26:31,SELECT,2.095,OK
3,prueba,cesar,192.168.1.62,11452,2020-11-25,12:26:31.261,2020-11-25 12:26:31,SELECT,4.084,OK
4,prueba,cesar,192.168.1.62,11452,2020-11-25,12:26:31.337,2020-11-25 12:26:31,SELECT,0.938,OK
5,prueba,cesar,192.168.1.62,11452,2020-11-25,12:27:31.367,2020-11-25 12:27:31,SELECT,0.725,OK
6,prueba,cesar,192.168.1.62,11452,2020-11-25,12:27:31.396,2020-11-25 12:27:31,idle,0.0,OK
7,prueba,cesar,192.168.1.62,11454,2020-11-25,12:27:31.397,2020-11-25 12:27:31,,0.0,OK
8,prueba,cesar,192.168.1.62,11454,2020-11-25,12:27:31.473,2020-11-25 12:27:31,authentication,0.0,OK
9,prueba,cesar,192.168.1.62,11454,2020-11-25,12:28:31.504,2020-11-25 12:28:31,SET,0.223,OK
10,prueba,cesar,192.168.1.62,11454,2020-11-25,12:28:31.536,2020-11-25 12:28:31,SELECT,1.683,OK
11,prueba,cesar,192.168.1.62,11454,2020-11-25,12:28:31.568,2020-11-25 12:28:31,SELECT,2.758,OK
12,prueba,cesar,192.168.1.62,12587,2020-11-25,12:28:35.311,2020-11-25 12:28:35,SELECT,2.092,OK
13,prueba,cesar,192.168.1.62,12587,2020-11-25,12:29:35.342,2020-11-25 12:29:35,SELECT,3.131,OK
14,prueba,cesar,192.168.1.62,12587,2020-11-25,12:29:35.418,2020-11-25 12:29:35,SELECT,0.889,OK
15,prueba,cesar,192.168.1.62,12587,2020-11-25,12:29:35.462,2020-11-25 12:29:35,SELECT,0.658,OK
16,prueba,cesar,192.168.1.62,12587,2020-11-25,12:29:35.493,2020-11-25 12:29:35,idle,0.0,OK
17,prueba,cesar,192.168.1.62,12588,2020-11-25,12:30:35.551,2020-11-25 12:30:35,,0.0,OK
18,prueba,cesar,192.168.1.62,12588,2020-11-25,12:30:35.629,2020-11-25 12:30:35,authentication,0.0,OK
19,prueba,cesar,192.168.1.62,11452,2020-11-25,12:30:31.102,2020-11-25 14:26:31,,0.0,OK
20,prueba,cesar,192.168.1.62,11449,2020-11-25,12:30:31.107,2020-11-25 12:30:30,idle,0.0,OK
21,prueba,cesar,192.168.1.62,11452,2020-11-25,12:31:31.166,2020-11-25 12:31:31,authentication,0.0,OK
22,prueba,cesar,192.168.1.62,11452,2020-11-25,12:31:31.196,2020-11-25 12:31:31,SET,0.180,OK
23,prueba,cesar,192.168.1.62,11452,2020-11-25,12:31:31.229,2020-11-25 12:31:31,SELECT,2.095,OK
24,prueba,cesar,192.168.1.62,11452,2020-11-25,12:32:31.261,2020-11-25 12:32:31,SELECT,4.084,OK
25,prueba,cesar,192.168.1.62,11452,2020-11-25,12:32:31.337,2020-11-25 12:32:31,SELECT,0.938,OK
26,prueba,cesar,192.168.1.62,11452,2020-11-25,12:32:31.367,2020-11-25 12:32:31,SELECT,0.725,OK
27,prueba,cesar,192.168.1.62,11452,2020-11-25,12:32:31.396,2020-11-25 12:32:31,idle,0.0,OK
28,prueba,cesar,192.168.1.62,11454,2020-11-25,12:33:31.397,2020-11-25 12:33:31,,0.0,OK
29,prueba,cesar,192.168.1.62,11454,2020-11-25,12:33:31.473,2020-11-25 12:33:31,authentication,0.0,OK
30,prueba,cesar,192.168.1.62,11454,2020-11-25,12:33:31.504,2020-11-25 12:33:31,SET,0.223,OK
31,prueba,cesar,192.168.1.62,11454,2020-11-25,12:33:31.536,2020-11-25 12:33:31,SELECT,1.683,OK
32,prueba,cesar,192.168.1.62,11454,2020-11-25,12:33:31.568,2020-11-25 12:33:31,SELECT,2.758,OK
33,prueba,cesar,192.168.1.62,11457,2020-11-25,12:34:32.387,2020-11-25 12:34:32,SELECT,2.273,OK
34,prueba,cesar,192.168.1.62,11457,2020-11-25,12:34:32.416,2020-11-25 12:34:32,idle,0.0,OK
35,prueba,cesar,192.168.1.62,11458,2020-11-25,12:34:32.417,2020-11-25 12:34:32,,0.0,OK
36,prueba,cesar,192.168.1.62,11458,2020-11-25,12:34:32.494,2020-11-25 12:34:32,authentication,0.0,OK
37,prueba,cesar,192.168.1.62,11458,2020-11-25,12:35:32.524,2020-11-25 12:35:32,SET,0.173,OK
38,prueba,cesar,192.168.1.62,11458,2020-11-25,12:35:32.557,2020-11-25 12:35:32,SELECT,2.178,OK
39,prueba,cesar,192.168.1.62,11458,2020-11-25,12:35:32.590,2020-11-25 12:35:32,SELECT,4.621,OK
40,prueba,cesar,192.168.1.62,11458,2020-11-25,12:35:32.664,2020-11-25 12:35:32,SELECT,0.686,OK
41,prueba,cesar,192.168.1.62,11458,2020-11-25,12:36:32.694,2020-11-25 12:36:32,SELECT,1.102,OK
42,prueba,cesar,192.168.1.62,11458,2020-11-25,12:36:32.724,2020-11-25 12:36:32,idle,0.0,OK
43,prueba,cesar,192.168.1.62,11461,2020-11-25,12:36:32.786,2020-11-25 12:36:32,,0.0,OK
44,prueba,cesar,192.168.1.62,11461,2020-11-25,12:36:32.861,2020-11-25 12:36:32,authentication,0.0,OK
45,prueba,cesar,192.168.1.62,11461,2020-11-25,12:36:32.892,2020-11-25 12:36:32,SET,0.229,OK
46,prueba,cesar,192.168.1.62,11461,2020-11-25,12:37:32.925,2020-11-25 12:37:32,SELECT,2.231,OK
47,prueba,cesar,192.168.1.62,11461,2020-11-25,12:37:32.958,2020-11-25 12:37:32,SELECT,4.443,OK
48,prueba,cesar,192.168.1.62,12588,2020-11-25,12:37:35.874,2020-11-25 12:37:35,SELECT,0.488,OK
49,prueba,cesar,192.168.1.62,12588,2020-11-25,12:37:35.905,2020-11-25 12:37:35,idle,0.0,OK
50,prueba,cesar,192.168.1.62,12610,2020-11-25,12:38:44.546,2020-11-25 12:27:44,,0.0,OK
51,prueba,cesar,192.168.1.62,12610,2020-11-25,12:38:44.624,2020-11-25 12:38:44,authentication,0.0,OK
52,prueba,cesar,192.168.1.62,12610,2020-11-25,12:38:44.654,2020-11-25 12:38:44,SET,0.378,OK
53,prueba,cesar,192.168.1.62,12610,2020-11-25,12:38:44.685,2020-11-25 12:38:44,SELECT,2.190,OK
54,prueba,cesar,192.168.1.62,12610,2020-11-25,12:38:44.717,2020-11-25 12:38:44,SELECT,2.671,OK
55,prueba,cesar,192.168.1.62,12610,2020-11-25,12:39:44.808,2020-11-25 12:39:44,SELECT,1.597,OK
56,prueba,cesar,192.168.1.62,12610,2020-11-25,12:39:44.839,2020-11-25 12:39:44,SELECT,1.906,OK
57,prueba,cesar,192.168.1.62,12610,2020-11-25,12:39:44.872,2020-11-25 12:39:44,SELECT,4.015,OK
58,prueba,cesar,192.168.1.62,12610,2020-11-25,12:39:44.899,2020-11-25 12:39:44,SELECT,1.369,OK
59,prueba,cesar,192.168.1.62,12610,2020-11-25,12:40:44.929,2020-11-25 12:40:44,SELECT,0.590,OK
60,prueba,cesar,192.168.1.62,12610,2020-11-25,12:40:44.960,2020-11-25 12:40:44,SELECT,0.871,OK
